Word	Count	Emotions
mad	21	anger, disgust, fear, negative, sadness
impulse	21	
dirty	21	disgust, negative
penny	21	
deaf	21	
argument	21	anger, negative
protest	21	
deny	21	anger, negative
hearted	21	
offer	21	positive
we	20	
few	20	
future	20	
stay	20	
absolute	20	positive
destruction	20	anger, negative
pan	20	
having	20	
empty	20	
manner	20	
association	20	trust
comparison	20	
union	20	
family	20	
claim	20	
darkness	20	anger, fear, negative, sadness
punch	20	anger, fear, negative, sadness, surprise
middle	20	
split	20	negative
violent	20	anger, disgust, fear, negative, surprise
minute	20	
dare	20	anticipation, trust
share	20	anticipation, joy, positive, trust
profit	20	
shoot	20	anger, fear, negative
bolt	20	
company	20	
bent	20	
trail	20	
pop	20	negative, surprise
leading	20	trust
e	20	
wait	20	anticipation, negative
v	20	
hail	20	negative, positive, trust
steal	20	anger, fear, negative, sadness
flower	20	
crow	20	
staff	20	
jack	20	
allow	20	
alive	20	anticipation, joy, positive, trust
calm	20	positive
key	20	
thanks	20	
towards	20	
mercy	20	positive
pole	20	
background	20	
clouds	20	
plane	20	
lend	20	
bank	20	trust
dip	20	
vulgar	20	disgust, negative
bite	20	negative
ship	20	anticipation
shy	20	
living	20	
sour	20	disgust, negative
writing	20	
request	20	
security	20	
win	20	
dislike	20	anger, disgust, negative
particular	19	
obsolete	19	
specific	19	
index	19	
willing	19	
english	19	
void	19	
rack	19	negative, sadness
hollow	19	negative, sadness
trim	19	
according	19	
bond	19	
shoulders	19	
se	19	
opposite	19	
difference	19	
exact	19	
stare	19	
range	19	
restore	19	
goose	19	
heap	19	
flood	19	fear
perfect	19	anticipation, joy, positive, trust
terence	19	
lion	19	fear, positive
palm	19	
yield	19	
candle	19	
fuel	19	
saddle	19	
swell	19	
pure	19	
twist	19	
accounts	19	trust
progress	19	anticipation, joy, positive
array	19	positive
need	19	
fat	19	disgust, negative, sadness
fold	19	
impression	19	positive
transitive	19	
shed	19	negative
usage	19	
was	19	
base	19	trust
cash	19	anger, anticipation, fear, joy, positive, trust
du	19	
song	19	
hammer	19	
early	19	
flourish	19	
lightning	19	anger, fear, surprise
leap	19	
prospect	19	positive
rose	19	
paint	19	
strings	19	
engage	19	
trick	19	negative, surprise
coin	19	
able	19	
must	19	
steam	19	
plant	19	
chamber	19	
capital	19	
plate	19	
sheet	19	
veil	19	
oar	19	
bay	19	
safety	19	
bread	19	
commit	19	
society	19	
sing	19	anticipation, joy, positive, sadness, trust
trust	19	trust
joy	19	joy, positive
courage	19	positive
thesaurus	18	
both	18	
reference	18	
only	18	
below	18	
advantage	18	positive
center	18	positive, trust
remain	18	
positive	18	
substance	18	positive
bone	18	
intellect	18	positive
condition	18	
lot	18	
