Word	Count	Emotions
patience	34	anticipation, positive, trust
form	2	
henceforth	33	
corrupt	1	negative
drunken	33	disgust, negative
sojourn	3	
herd	22	
separate	1	
fountain	15	
stay	4	
deed	19	trust
cunne	33	
goodly	33	positive
add	15	
whereas	33	
distress	8	anger, disgust, fear, negative, sadness, surprise
refuse	26	negative
shiloh	33	
flame	4	
harden	12	
gird	1	
encamp	1	
wheel	15	
lose	24	anger, disgust, fear, negative, sadness, surprise
withal	33	
continual	33	
looketh	33	
profane	2	anger, negative
turneth	33	
price	1	
render	1	positive
tread	4	
philistine	33	
clay	33	
reed	11	
porter	6	
isaiah	33	
jew	33	
instruction	33	positive, trust
judas	33	
abundantly	32	
heat	2	
sheba	32	
peradventure	32	
cave	6	
room	7	
enough	32	
inhabit	1	
kohath	32	
memorial	32	
execute	3	
greatness	32	joy, positive, surprise, trust
firstfruit	2	
sown	32	
shittim	32	
loose	4	
wave	6	
reap	3	
loaf	3	negative
punish	17	fear, negative
causeth	32	
shine	7	positive
whoredom	22	
learn	9	positive
gath	32	
micah	32	
valiant	32	positive
gedaliah	32	
member	6	
scripture	21	trust
adam	31	
fetch	18	
certainly	31	
travail	1	negative
spice	1	positive
gracious	31	positive
already	31	
sprinkle	4	
hot	1	anger
thirst	2	anticipation, sadness, surprise
hateth	31	
curtain	26	
due	1	
saying	31	
want	2	
dismay	1	anger, anticipation, fear, negative, sadness, surprise
line	2	
quiet	2	positive, sadness
abiathar	31	
ahasuerus	31	
nebuchadrezzar	31	
conscience	1	positive, trust
cleave	2	fear
yield	7	
harp	1	
window	16	
armed	30	anger, fear, negative, positive
furnace	2	anger
calf	18	joy, positive, trust
marry	2	anticipation, fear, joy, positive, surprise, trust
preserve	16	positive
rebekah	30	
knee	6	
honourable	30	
report	12	
hence	30	
hang	18	
regard	2	
along	30	
heritage	1	trust
ordinance	27	trust
record	1	
noble	7	positive, trust
cherub	30	
putteth	30	
pluck	23	
dieth	30	
drunk	30	
standeth	30	
abideth	30	
pity	6	sadness
gain	1	anticipation, joy, positive
hungry	30	anticipation, negative
determine	1	
calleth	30	
province	27	
shaphan	30	
soldier	5	anger, positive, sadness
elias	30	
creature	12	disgust, fear, negative
creep	1	negative
accept	1	
bird	25	
require	1	
comest	29	
altogether	29	
endure	3	positive
terror	15	fear, negative
business	29	
royal	29	
dumb	29	negative
brasen	29	
heave	3	
nun	29	negative, trust
wholly	29	
bright	29	
solemn	29	
testify	3	
tremble	21	
jephthah	29	
reject	4	anger, fear, negative, sadness
singe	1	
joram	29	
merchant	12	trust
hananiah	29	
majesty	29	positive, trust
jeshua	29	
persia	29	
howl	1	anger, disgust, fear, negative, sadness, surprise
nazareth	29	
barnabas	29	
perpetual	28	
elam	28	
kindred	8	anticipation, joy, positive, trust
camest	28	
justice	28	positive, trust
fellow	13	positive, trust
sand	28	
beware	28	anticipation, fear, negative
roll	1	
happy	1	anticipation, joy, positive, trust
beneath	28	
merry	28	joy, positive
falleth	28	
levite	28	
thief	16	anger, disgust, fear, negative, sadness, surprise
breastplate	3	
uttermost	28	
dung	28	disgust
confess	3	negative, positive, trust
thanksgiving	2	joy, positive
seemeth	28	
humble	25	disgust, negative, positive, sadness
whithersoever	28	
straight	28	
apparel	28	
amnon	28	
uriah	28	
baasha	28	
obtain	1	
spiritual	28	
cross	28	anger, fear, negative, sadness
caesar	28	
charity	28	joy, positive
punishment	2	anger, disgust, fear, negative
findeth	27	
summer	27	
isle	6	
language	7	
egyptian	27	
lodge	6	
whereon	27	
space	27	
wealth	27	joy, positive, trust
breast	18	
less	3	
covereth	27	
ointment	5	
lame	27	
liberty	27	anticipation, joy, positive, surprise, trust
miracle	10	anticipation, joy, positive, surprise, trust
whereunto	27	
ungodly	27	negative, sadness
whirlwind	2	fear, negative
shallum	27	
uzziah	27	
worker	1	
johanan	27	
ezra	27	
westward	26	
hebrew	26	
wrong	2	negative
bad	1	anger, disgust, fear, negative, sadness
hittite	26	
grief	1	negative, sadness
kiss	2	anticipation, joy, positive, surprise
fourteen	26	
korah	26	
guilty	26	anger, negative, sadness
double	4	
excellency	26	
swallow	23	
finger	15	
exalt	26	anticipation, joy, positive, trust
robe	11	
timber	26	
cord	6	
uncover	17	surprise
separation	26	
coal	4	
confusion	26	anger, fear, negative
recompense	1	
bond	19	
going	26	
evermore	26	
ancient	10	negative
carmel	26	
makest	26	
zeruiah	26	
adonijah	26	
accomplish	1	joy, positive
baruch	26	
lovingkindness	26	
repentance	26	
macedonia	26	
fly	2	
fro	25	
fourteenth	25	
jebusite	14	
cake	13	
offend	25	anger, disgust, negative
jewel	3	
